Event Number,Event Description,Business Unit,Date Created,Date Last Updated,Date of Occurrence,Date of Identification,Estimated Loss,Loss Value,Rationale for Estimated Loss,Total Recovery Amount,Gross Loss Value,Net Loss,Event Status,Event Identifier,Event Type,Event Owner,Risk Driver (Primary Risk Factor),Other Driver1,Other Driver2,Business Unit Caused,Process Caused,Effect Description,Effect Type,Effect Category,Loss Value,Rationale for Gross Loss  Value,Process Impacted,Unit Impacted,General Ledger Impacted,General Ledger Number,Required Actions,Action Owner,Action Due Date,Action Progress Report,Action Status,Recovery Date,Recovery Amount,Recovery Type,Recovery Description
635,Fence collapse due to heavy wind storm at ARM Pension - No5 Mekunwen,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,2/14/2012 10:24,9/1/2014 14:06,2/13/2012,2/13/2012,"₦550,000.00","550,000.00",Cost of erecting a new fence,"550,000.00","550,000.00",0,Closed,Obehie Omiyi,Disasters and Other Events›Natural causes›Heavy wind storm resulting in Hail/Roof damage/ Tree collapse / building collapse etc.,Esther Ukwuoma,"External Events›Social and Natural Environment›Natural disasters (Fire, floods, etc)",,,,,Fence collapse at ARM Pension - No5 Mekunwen,Actual Loss,Loss or Damage to Assets,"550,000.00",Being the cost of fixing the fence based on quotes received from the contractor,Administration›Facility Repairs,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,,Position security personnels around the collapsed fence area| Contact the House-owner of the next building with regards fixing of the fence | Obtain quotes from building contractors and Liaise with the House-owner of the next building to fix the fence ,Obehie Omiyi,2012-02-13| 2012-02-14| 2012-02-20,Action done| Done| Done,Complete| Complete| Complete,,"550,000.00",Others,The cost of fixing the collapsed fence was borne by the Landlord insurers.
639,Fiber optic cable cut connecting ARM Pension Data Center to ARMI Data Center,ARM Pensions›Information Technology›Information Technology,2/17/2012 8:45,12/3/2015 12:02,2/13/2012,2/13/2012,₦0.00,0.00| 0.00| 0.00,nil,0,0,0,Closed,Abiodun Oke,Business Disruption and System Failures›Interruption in services provided by external providers›Telecommunication link outages,Abiodun Oke,"External Events›Social and Natural Environment›External attacks (burglary, robberies, vandalism etc)",,,,,"CRM Online downtime for 2 days, that means the CSOs were unable to service clients | Data/internet connectivity downtime between Ikoyi - Abuja and Ikoyi - Surulere for 2 days| Client could not access their online Statement for 2 days.  ",Actual Loss| Actual Loss| Actual Loss,Reduced operational capacity| Reduced operational capacity| Reputational Loss,0.00| 0.00| 0.00,Not able to quantify this as a methodology isn't available | Not able to quantify this as a methodology isn't available | Not able to quantify this. ,OperationsOperations,ARM PensionsARM PensionsARM Pensions,,,Setup a wireless connection between ARMI data center and ARM Pension data center| Set up Backup wireless internet for staff in Ikoyi to access mail and other resources online| Liaise with Fiber optic service provider about possibilities of establising termination services  directly at No.5 Mekunwen| Setup work space in No. 5 Mekunwen so that Operation staff from surulere can work pending the restoration of connectivity.,Abiodun Oke| Yomi Egbeola| Abiodun Oke| Yomi Egbeola,2012-02-14| 2012-02-14| 2012-03-31| 2012-02-13,Done. This action has  resolved the incident by re-establishing the connection between ARM Pension and ARMI Data Centers. | Done| Negotiation concluded with vendor- 21st Century.| Done,Complete| Complete| Complete| Complete,,,,
647,Fire outbreak on PHCN meter connection  in Abuja office,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,3/14/2012 11:28,9/1/2014 14:08,3/14/2012,3/14/2012,"₦165,300.00","0.00| 20,000.00| 165,375.00",This is cost of New and Bigger PHCN meter to replace damaged one.,0,"185,375.00","185,375.00",Closed,Babarinde Adewunmi,Disasters and Other Events›Accidents and public safety›Fire outbreak,Carol Chibuogu,Process›Adequacy of Procedures›Lack of formal procedures / guidelines,,,,,Staff members were unable to work for about one and half hours| Payment to PHCN Official for a direct connection to the PHCN pole| Purchase of a new meter to replace the burnt one,Actual Loss| Actual Loss| Actual Loss,Reduced operational capacity| Outsourcing / Vendor Costs| Loss or Damage to Assets,"0.00| 20,000.00| 165,375.00",Unable to quantify this | Being payment made for power to be installed to the building| Being payment for the replacement of the burnt phcn meter,,,,,"Request for fund to be paid to PHCN officials for a direct connection to the PHCN pole pending the arrival of a new meter| Payment Request to be raised for the purchase of a new PHCN pre-paid meter| Follow up with PHCN for the delivery of pre-paid meter, as it takes about a month for supply to be made| Send a mail to the Admin officer in Lagos as soon as the meter have been installed",Babarinde Adewunmi| Babarinde Adewunmi| Babarinde Adewunmi| Babarinde Adewunmi,2012-03-14| 2012-03-29| 2012-06-29| 2012-06-29,Done| Payment has been made to PHCN for the new meter| The meter has been deliver and installed| Email sent,Complete| Complete| Complete| Complete,,,,
658,"A Customer Service Officer demanded money from prospective retirees, i.e. in an attempt to obtain processing fee for Benefit application of the clients/Next-Of-Kin.",ARM Pensions›Business Development›North Region,4/10/2012 8:29,9/1/2014 13:00,3/14/2011,3/19/2012,₦0.00,0.00| 0.00,Ripple effect of reputaional loss and subsequent risk of exit of clients in Uni Agric when transfer window opens,0,0,0,Closed,Godswill Egbe,Internal Fraud›Theft and Fraud (Internal)›Extortion,Godswill Egbe,People›Motivation›Corruption / Criminal intent,,,ARM Pensions›Business Development›Relationship Management,,Possible clients disatisfaction resulting from this incident | Possible Regulator's penalty if the clients had complained to the Commission ,Actual Loss| Near Miss,Reputational Loss| Regulatory Action,0.00| 0.00,Unable to quantify this.| The incident was identify before it was reported to the Commission  ,,,,,"Investigate/ report the incident and find out validity of client's claims| Take necessary disciplinary action, upon completion of investigation.
| Send an email to all CSOs within the region: stating that all client benefit processing request should be reported weekly to their Team Lead, copying the Area manager. ",Godswill Egbe| Obehie Omiyi| Godswill Egbe,2012-03-24| 2012-04-30| 2012-04-26,"Both the Area manager and HR Unit carried out an independent investigation (i.e. called at least threee different clients) and the clients alluded to the fact that the CSO demanded for processing fee. 
One client claimed to have paid the said amount and specifically mentioned that he is not interested in any refund.  | The CSO's employment was terminated. As a temporary measure, the Area manager took charge of the Benue office prior to the resumption of the new hire.   | Message was sent on this date. ",Complete| Complete| Complete,,,,
663,Dirty Server shutdown due to Power Outage,ARM Pensions›Information Technology›Information Technology,4/17/2012 15:00,9/1/2014 16:03,4/16/2012,4/17/2012,₦0.00,0.00| 0.00| 0.00| 0.00,Not Applicable.,0,0,0,Closed,Yomi Egbeola,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,Systems›System availability›Software failure (Software / data corruption etc),,,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,Failed Overnight Daily Backups.| Statement Online unaccessible to clients as at the time of outage; leading to possible client dissatisfaction  | SMS Application unresponsive to clientsat the time of outage; leading to possible client dissatisfaction  | Email services unavailable at the time of outage,Actual Loss| Potential Loss| Potential Loss| Actual Loss,Loss or Damage to Assets| Reputational Loss| Reputational Loss| Reduced operational capacity,0.00| 0.00| 0.00| 0.00,We are unable to quantify this impact in monetary term| Reputational loss | Reputational loss | We are unable to quantify this impact in monetary term ,Information Technology›Data Back-up Procedure,ARM Pensions›Information Technology›Information Technology,,,Restart Servers in the right sequence.| Inform Admin. | Called in the UPS Vendor(Dataflex) to check the systems.| Prepare and circulate incident report to all stakeholders.,Yomi Egbeola| Ade Ojedokun| Ade Ojedokun| Ade Ojedokun,2012-04-17| 2012-04-17| 2012-04-17| 2012-04-18,done| done| done. Recommended a change of batteries to increase battery time on ups.,Complete| Complete| Complete| Complete,,,,
664,Unavailability of Exchange Server to some users,ARM Pensions›Information Technology›Information Technology,4/17/2012 17:00,9/1/2014 16:04,4/13/2012,4/13/2012,₦0.00,"0.00| 160,000.00",Not Applicable,0,"160,000.00","160,000.00",Closed,Ade Ojedokun,Business Disruption and System Failures›Interruption in services provided by external providers›Internet Service downtime,Abiodun Oke,Systems›System availability›Software failure (Software / data corruption etc),,,,,Some users were unable to recieve or send mail during the incident (1 working day)| One of the email storage databases out of four was corrupt ,Actual Loss| Actual Loss,Reduced operational capacity| Reduced operational capacity,"0.00| 160,000.00",Being the daily rate charged by the vendor that repair the email database. The vendor shall include this amount as part of his quarterly retainership invoice.,,,,,Called in External Vendors for assistance in resolution of corruption.| Set up scanning exclusions on the McAfee EPO Server.| Informed affected users and set up alternative email delivery for critrical users.| Repaired corrupt email database| Prepare & send incident report to all stakeholders.,Ade Ojedokun| Ade Ojedokun| Paul Akpene| Ade Ojedokun| Ade Ojedokun,2012-04-13| 2012-04-13| 2012-04-13| 2012-04-14| 2012-04-18,Done| Done| Done| Done| Done,Complete| Complete| Complete| Complete| Complete,,,,
665,Server shutdown due to Power Outage,ARM Pensions›Information Technology›Information Technology,4/17/2012 17:23,12/3/2015 11:59,4/8/2012,4/10/2012,₦0.00,0.00| 0.00| 0.00| 0.00,Not Applicable,0,0,0,Closed,Paul Akpene,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,Systems›System availability›System unavailable due to extended period of power outage,,,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,Failed Overnight Daily Backups. | Statement Online unaccessible to clients as at the time of outage; leading to possible client dissatisfaction | SMS Application unresponsive to clientsat the time of outage; leading to possible client dissatisfaction | Email services unavailable at the time of outage ,Actual Loss| Potential Loss| Potential Loss| Potential Loss,Loss or Damage to Assets| Reputational Loss| Reputational Loss| Reduced operational capacity,0.00| 0.00| 0.00| 0.00,We are unable to quantify this impact in monetary term | Reputational loss | Reputational loss | We are unable to quantify this impact in monetary term ,Information Technology›Data Back-up Procedure,ARM Pensions›Information Technology›Information Technology,,,Restart Servers in the right sequence| Inform Admin| Called in the UPS Vendor(Dataflex) to check the systems| Prepare and circulate incident report to all stakeholders,Paul Akpene| Ade Ojedokun| Ade Ojedokun| Ade Ojedokun,2012-04-10| 2012-04-10| 2012-04-10| 2012-04-18,done| done| Carried out test on the batteries and wanted to monitor events.| done,Complete| Complete| Complete| Complete,,,,
669,Transaction Alert of contributions processed on the 13th April 2012 was mistakenly sent twice.,ARM Pensions›Information Technology›Information Technology,4/19/2012 15:22,9/1/2014 16:08,4/17/2012,4/17/2012,₦0.00,0,N/A,0,0,0,Closed,Paul Akpene,"Execution, Delivery and Process Management›Monitoring and reporting›Error in the transaction notification sent to clients (e.g. Contribution SMS Alert, Investment Email alert, etc.)",Abiodun Oke,People›Skills›Negligence of duties and responsibilities,Process›Quality of controls›Inadequate controls in place (specific / pervasive / monitoring),,ARM Pensions›Information Technology›Information Technology,,"About 2,684 RSA clients recieved transaction alert for the same period twice but with different balances.",Potential Loss,Reputational Loss,0,No financial loss,,ARM Pensions›Business Development›Relationship Management,,,Determine the number of clients affected and escalate to Head IT| Send email to call center and customer service officer informing them of the incident so they can be prepared to manage clients complaint.,Abiodun Oke| Martins Edesemhen,2012-04-17| 2012-04-17,Done| Done,Complete| Complete,,,,
672,Diesel theft at ARM Pension - Kaduna office by the Security guard,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,4/20/2012 8:44,9/1/2014 14:10,1/10/2012,1/25/2012,"₦333,900.00","333,900.00",The diesel was procurred at 159/ltr and a total of 2100 was stolen.,0,"333,900.00","333,900.00",Closed,Abdu Musa,"Internal Fraud›Theft and Fraud (Internal)›Theft of company assets (e.g. Furnitures & fittings, computer equipment, diesel, store items etc.)",Carol Chibuogu,"External Events›Social and Natural Environment›External attacks (burglary, robberies, vandalism etc)",,,,,Reduction in the volume of diesel in storage,Actual Loss,Loss or Damage to Assets,"333,900.00",The diesel was procurred at 159/ltr and a total of 2100 was stolen.,Administration›Facility Maintenance,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,,Report the incident to the facilities manager in-charge of the office area.| Develop an incident memo and send to Area manager and the Admin Unit at Ikoyi ,Esma'eel Salisu| Esma'eel Salisu,2012-02-01| 2012-02-02,"Done. 
It was discovered that the diesel was stolen by a security guard, who works for Facilities manager. The security guard was charged to law court by the firm.| Done.",Complete| Complete,,,,
677,Network connectivity downtime (for three hours) in Surulere office,ARM Pensions›Information Technology›Information Technology,4/24/2012 6:14,12/3/2015 11:37,4/23/2012,4/23/2012,₦0.00,0,N/A,0,0,0,Closed,Paul Akpene,Business Disruption and System Failures›Interruption in services provided by external providers›Internet Service downtime,Abiodun Oke,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,ARM Pensions›Information Technology›Information Technology,,"LAN, WAN, and Internet network was un-available in surulere office from about 2pm till COB, hence un-availability of netwkork application and resources.",Potential Loss,Reduced operational capacity,0,Unable to quantify this event at this time.,,ARM Pensions›Operations,,,Liaise with the Network consultant to re-configure a new router to replace the failed router,Abiodun Oke,4/23/2012,Done. The router was replaced by the vendor at no cost.,Complete,,,,
681,Dirty Shutdown of Servers due to Power Outage,ARM Pensions›Information Technology›Information Technology,4/30/2012 16:33,12/3/2015 11:55,4/30/2012,4/30/2012,₦0.00,0.00| 0.00,Not applicable,0,0,0,Closed,Yomi Egbeola,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,Systems›System availability›System unavailable due to extended period of power outage,,,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,Administration›Facility Maintenance,"Unavailability of online statement website, email, black berry service, SMS Service and CRM online during the period when the servers where down| Unavailability of Daily backups for the day",Potential Loss| Actual Loss,Reduced operational capacity| Loss or Damage to Assets,0.00| 0.00,,Information Technology›Data Back-up ProcedureInformation Technology›Incident Management,ARM PensionsARM Pensions,,,Restart all the servers in the right sequence and confirm Internet connectivity and mail delivery (i.e. in-bound and out-bound). | Inform Admin of the Power Outage,Yomi Egbeola| Ade Ojedokun,2012-04-30| 2012-04-30,completed| completed,Complete| Complete,,,,
682,Dirty Shutdwn of Server due to power outage,ARM Pensions›Information Technology›Information Technology,4/30/2012 16:40,12/3/2015 11:55,4/25/2012,4/25/2012,₦0.00,0.00| 0.00| 0.00,Not Applicable,0,0,0,Closed,Yomi Egbeola,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,Systems›System availability›System unavailable due to extended period of power outage,,,ARM Pensions,Administration,"Unavailability of online statement website, email, black berry service, SMS Service and CRM online during the period when the servers where down| Unavailability of email to staff on 2 Mail databases (DB6, DB7) due to corruption.| Unavailability of Daily backups for the day",Potential Loss| Potential Loss| Actual Loss,Reduced operational capacity| Reduced operational capacity| Loss or Damage to Assets,0.00| 0.00| 0.00,nil| nil| nil,Information Technology›Data Back-up ProcedureInformation Technology›Incident ManagementInformation Technology›Incident Management,ARM PensionsARM PensionsARM Pensions,,,"Restart all the servers in the right sequence and confirm Internet connectivity and mail delivery (i.e. in-bound and out-bound). | Inform Admin of the Power Outage| Contact the UPS vendor (DataFlex), prepare a business case for battery replacement to increase battery time.| Commence the recovery of the  corrupt databases  ",Yomi Egbeola| Ade Ojedokun| Ade Ojedokun| Ade Ojedokun,2012-04-25| 2012-04-25| 2012-04-30| 2012-04-30,completed| completed| done| completed,Complete| Complete| Complete| Complete,,,,
